condition,condition_subtype,group
DH1126,class 1,A
DH1140,class 1,A
DH1143,class 2,C
DH1151,class 3,E2.1
DH1154,class 1,A
DH1155,class 1,A
DH1159-2,class 2,C
DH1160,class 3,D1
DH1161-2,class 3,D1
DH1173,class 2,C
DH1179,class 1,A
DH1184,class 2,C
DH1186,class 2,C
DH1193,class 3,E2.2
DH1196,class 2,C
DH1210,class 1,A
DH1214,class 2,C
DXP-593,class 2,C
DXP-604,class 1,A
Ehling_mAb-50,class 3,D2
Ehling_mAb-64,class 1,A
Ehling_mAb-82,class 3,D1
H4,class 2,C
LY-CoV016,class 1,A
LY-CoV1404,class 3,D2
LY-CoV481,class 1,A
LY-CoV488,class 1,A
LY-CoV555,class 2,C
P2B-1A10,class 1,A
P2B-2F6,class 2,D1
P2B-2F6,class 3,D1
P2C-1A3,class 2,C
P4A1,class 1,A
P5A-2G9,class 1,A
P5A-3A1,class 1,A
S2E12,class 1,B
S2H13,class 2,C
S2H14,class 4,F3
S2H14,class 1,F3
S2H97,class 4,E3
S2H97,class 3,E3
S2M11,class 2,C
S2X259,class 4,F2
S2X35,class 4,F3
S304,class 4,F1
S309,class 3,E1
TAU-2230,class 3,D1
TAU-2310,class 3,E3
WIBP-2B11,class 1,A
XG2v-006,class 3,E2.2
XG2v-039,class 1,A
XG2v-045,class 2,C
XG2v-052,class 3,D1
XG2v-070,class 3,E2.1
XG2v-083,class 3,D1
XG2v-095,class 1,B
XG2v-098,class 1,A
XG2v-126,class 1,B
XGv-001,class 4,F1
XGv-010,class 3,D1
XGv-011,class 3,E2.1
XGv-013,class 1,A
XGv-014,class 3,E3
XGv-016,class 3,D2
XGv-017,class 1,A
XGv-018,class 4,F1
XGv-023,class 4,F1
XGv-024,class 4,F1
XGv-030,class 3,E2.2
XGv-032,class 4,F2
XGv-038,class 3,E2.2
XGv-040,class 1,A
XGv-047,class 3,D1
XGv-049,class 4,F1
XGv-050,class 1,B
XGv-051,class 2,C
XGv-052,class 2,C
